IP Address,Common Name
34.232.203.248:443,webcast-m.tiktok.com|webcast-t.tiktok.com|webcast.tiktok.com|webcast.us.tiktok.com|webcast16-ws-alisg.tiktok.com|webcast16-ws-useast1a.tiktok.com|webcast16-ws-useast2a.tiktok.com|webcast16-ws-useast5.us.tiktok.com
52.45.88.40:443,webcast-m.tiktok.com|webcast-t.tiktok.com|webcast.tiktok.com|webcast.us.tiktok.com|webcast16-ws-alisg.tiktok.com|webcast16-ws-useast1a.tiktok.com|webcast16-ws-useast2a.tiktok.com|webcast16-ws-useast5.us.tiktok.com
54.173.122.10:443,webcast-m.tiktok.com|webcast-t.tiktok.com|webcast.tiktok.com|webcast.us.tiktok.com|webcast16-ws-alisg.tiktok.com|webcast16-ws-useast1a.tiktok.com|webcast16-ws-useast2a.tiktok.com|webcast16-ws-useast5.us.tiktok.com
